ano,sigla_uf,produto,area_colhida_ha,producao_total,produtividade_media,valor_total_producao
2013,PI,Castanha de caju,132439,12863.0,134.949720670391,17922.0
2013,PR,Caju,,,,
2013,PR,Castanha de caju,,,,
2013,RJ,Caju,,,,
2013,RJ,Castanha de caju,,,,
2013,RN,Caju,,,,
2013,RN,Castanha de caju,104897,28109.0,308.85234899328873,35441.0
2013,RO,Caju,,,,
2013,RO,Castanha de caju,,,,
2013,RR,Caju,,,,
2013,RR,Castanha de caju,,,,
2013,RS,Caju,,,,
2013,RS,Castanha de caju,,,,
2013,SC,Caju,,,,
2013,SC,Castanha de caju,,,,
2013,SE,Caju,,,,
2013,SE,Castanha de caju,,,,
2013,SP,Caju,,,,
2013,SP,Castanha de caju,,,,
2013,TO,Caju,,,,
2013,TO,Castanha de caju,565,643.0,1139.1428571428571,715.0
2012,AC,Caju,,,,
2012,AC,Castanha de caju,,,,
2012,AL,Caju,,,,
2012,AL,Castanha de caju,1327,770.0,536.33333333333326,919.0
2012,AM,Caju,,,,
2012,AM,Castanha de caju,,,,
2012,AP,Caju,,,,
2012,AP,Castanha de caju,,,,
2012,BA,Caju,,,,
2012,BA,Castanha de caju,27180,1410.0,96.71794871794873,1238.0
2012,CE,Caju,,,,
2012,CE,Castanha de caju,400285,38574.0,106.21333333333338,57346.0
2012,DF,Caju,,,,
2012,DF,Castanha de caju,,,,
2012,ES,Caju,,,,
2012,ES,Castanha de caju,,,,
2012,GO,Caju,,,,
2012,GO,Castanha de caju,,,,
2012,MA,Caju,,,,
2012,MA,Castanha de caju,16999,4925.0,338.03508771929819,4136.0
2012,MG,Caju,,,,
2012,MG,Castanha de caju,,,,
2012,MS,Caju,,,,
2012,MS,Castanha de caju,,,,
2012,MT,Caju,,,,
2012,MT,Castanha de caju,720,311.0,1257.8333333333335,779.0
2012,PA,Caju,,,,
2012,PA,Castanha de caju,3285,2890.0,800.5,2718.0
2012,PB,Caju,,,,
2012,PB,Castanha de caju,5412,818.0,188.54918032786887,1287.0
2012,PE,Caju,,,,
2012,PE,Castanha de caju,6187,3401.0,542.94117647058818,3868.0
2012,PI,Caju,,,,
2012,PI,Castanha de caju,165410,8923.0,82.810975609756071,10716.0
2012,PR,Caju,,,,
2012,PR,Castanha de caju,,,,
2012,RJ,Caju,,,,
2012,RJ,Castanha de caju,,,,
2012,RN,Caju,,,,
2012,RN,Castanha de caju,129496,18003.0,177.62820512820508,27022.0
2012,RO,Caju,,,,
2012,RO,Castanha de caju,,,,
2012,RR,Caju,,,,
2012,RR,Castanha de caju,,,,
2012,RS,Caju,,,,
2012,RS,Castanha de caju,,,,
2012,SC,Caju,,,,
2012,SC,Castanha de caju,,,,
2012,SE,Caju,,,,
2012,SE,Castanha de caju,,,,
2012,SP,Caju,,,,
2012,SP,Castanha de caju,,,,
2012,TO,Caju,,,,
2012,TO,Castanha de caju,545,605.0,1187.7142857142858,781.0
2011,AC,Caju,,,,
2011,AC,Castanha de caju,,,,
2011,AL,Caju,,,,
2011,AL,Castanha de caju,1345,388.0,272.14285714285717,470.0
2011,AM,Caju,,,,
2011,AM,Castanha de caju,,,,
2011,AP,Caju,,,,
2011,AP,Castanha de caju,,,,
2011,BA,Caju,,,,
2011,BA,Castanha de caju,25727,1756.0,149.21818181818176,1425.0
2011,CE,Caju,,,,
2011,CE,Castanha de caju,402255,111718.0,330.18749999999989,143950.0
